Prompt,Meta-Llama-3-8B-Instruct/avg_score,eval_Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/avg_score,Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,num_iter,Meta-Llama-3-8B-Instruct/avg_score_raw,num_iter_last
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an unbeatable AI assistant.",0.5711538461538461,0.74,0.5733333333333334,0.69,0.66,0.0,0.61,0.25,0.72,0.49,0.49,0.7,0.48,0.21,0.68,0.69,0.711864406779661,0.62,0.75,0.6805555555555556,0.74,0.65,0.33,0.35,0.56,0.61,0.32,0.5458898643256185,"[0.8, 0.8]","[0.5, 0.4]","[0.7, 0.5]","[0.3, 0.5]","[0.0, 0.0]","[0.6, 0.5]","[0.1, 0.2]","[0.9, 0.9]","[0.7, 0.8]","[0.4, 0.4]","[0.7, 0.8]","[0.4, 0.7]","[0.0, 0.3]","[0.7, 1.0]","[0.6, 0.6]","[0.9, 0.9]","[0.7, 0.9]","[0.6, 0.5]","[0.7, 0.6]","[0.9, 0.7]","[0.8, 0.7]","[0.4, 0.4]","[0.5, 0.3]","[0.7, 0.6]","[0.8, 0.8]","[0.5, 0.0]","[4, 6]","[0.573076923076923, 0.5692307692307692]",6
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an assertive assistant.",0.5673076923076923,0.72,0.52,0.66,0.65,0.0,0.53,0.24,0.73,0.51,0.46,0.69,0.48,0.18,0.67,0.6,0.7796610169491526,0.64,0.72,0.625,0.66,0.74,0.52,0.24,0.6,0.7,0.35,0.5422984836392658,"[0.9, 0.7]","[0.6, 0.3]","[0.7, 0.7]","[0.4, 0.5]","[0.0, 0.0]","[0.7, 0.4]","[0.1, 0.1]","[0.8, 0.9]","[0.6, 0.7]","[0.4, 0.5]","[0.8, 0.5]","[0.3, 0.7]","[0.0, 0.4]","[0.6, 0.8]","[0.6, 0.6]","[0.7, 0.8]","[0.5, 0.8]","[0.7, 0.6]","[0.6, 0.7]","[0.8, 0.7]","[0.8, 0.8]","[0.7, 0.7]","[0.7, 0.4]","[0.6, 0.5]","[0.6, 0.9]","[0.6, 0.0]","[4, 6]","[0.5692307692307692, 0.5653846153846154]",6
You are an analytical assistant. /// Imagine you are a helpful assistant. /// Write a slow-paced answer.,0.5653846153846154,0.74,0.5333333333333333,0.67,0.65,0.0,0.59,0.23,0.75,0.47,0.43,0.65,0.47,0.19,0.72,0.58,0.7796610169491526,0.61,0.66,0.6944444444444444,0.73,0.76,0.38,0.36,0.57,0.6,0.17,0.5323224261771747,"[0.8, 0.9]","[0.5, 0.3]","[0.8, 0.9]","[0.7, 0.4]","[0.0, 0.0]","[0.7, 0.5]","[0.5, 0.3]","[0.7, 0.7]","[0.6, 0.2]","[0.7, 0.1]","[0.9, 0.9]","[0.5, 0.6]","[0.0, 0.1]","[0.9, 0.9]","[0.6, 0.5]","[1.0, 0.9]","[0.6, 0.5]","[0.6, 0.5]","[0.8, 0.5]","[0.9, 0.6]","[0.9, 0.7]","[0.6, 0.2]","[0.2, 0.5]","[0.6, 0.7]","[0.8, 0.3]","[0.5, 0.3]","[3, 5]","[0.6307692307692307, 0.5]",5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer.",0.5634615384615385,0.76,0.5866666666666667,0.67,0.66,0.0,0.56,0.21,0.77,0.51,0.41,0.7,0.5,0.18,0.72,0.63,0.6610169491525424,0.65,0.67,0.6666666666666666,0.74,0.72,0.44,0.32,0.59,0.57,0.28,0.5415003990422985,"[0.7, 0.9, 0.9, 1.0]","[0.5, 0.6, 0.5, 0.6]","[0.9, 0.8, 0.6, 0.8]","[0.6, 0.7, 0.3, 0.4]","[0.0, 0.0, 0.0, 0.0]","[0.7, 0.6, 0.5, 0.8]","[0.2, 0.3, 0.3, 0.1]","[0.8, 0.8, 0.6, 0.5]","[0.8, 0.6, 0.4, 0.6]","[0.6, 0.5, 0.3, 0.2]","[0.9, 0.7, 0.6, 0.9]","[0.3, 0.6, 0.5, 0.8]","[0.2, 0.0, 0.0, 0.1]","[0.7, 0.9, 0.5, 0.5]","[0.7, 0.9, 0.4, 0.5]","[0.8, 1.0, 0.8, 0.9]","[0.3, 0.8, 0.7, 0.5]","[0.7, 0.6, 0.6, 0.6]","[0.6, 0.9, 0.8, 0.6]","[0.8, 0.8, 0.8, 0.6]","[0.7, 0.9, 0.6, 0.7]","[0.4, 0.5, 0.6, 0.2]","[0.2, 0.3, 0.5, 0.6]","[0.6, 0.7, 0.5, 0.5]","[0.5, 0.7, 0.6, 0.6]","[0.5, 0.4, 0.5, 0.4]","[2, 3, 4, 5]","[0.5653846153846154, 0.6346153846153846, 0.5153846153846153, 0.5384615384615384]",5
"You are a remarkable, inclusive, and transparent assistant. /// Write a slow-paced answer.",0.5596153846153846,0.7,0.4533333333333333,0.69,0.69,0.0,0.54,0.29,0.82,0.55,0.35,0.63,0.41,0.2,0.75,0.48,0.6101694915254238,0.63,0.69,0.625,0.69,0.69,0.49,0.37,0.61,0.65,0.23,0.5307262569832403,"[0.8, 0.8]","[0.4, 0.3]","[0.7, 0.8]","[0.8, 0.4]","[0.0, 0.0]","[0.7, 0.4]","[0.2, 0.3]","[1.0, 0.4]","[0.7, 0.7]","[0.4, 0.4]","[0.9, 0.7]","[0.3, 0.4]","[0.1, 0.0]","[0.9, 0.4]","[0.3, 0.2]","[0.9, 0.7]","[0.5, 0.6]","[0.7, 0.6]","[0.7, 0.9]","[0.8, 0.9]","[0.8, 0.8]","[0.5, 0.8]","[0.5, 0.7]","[0.8, 0.5]","[0.5, 0.7]","[0.4, 0.4]","[2, 4]","[0.5884615384615385, 0.5307692307692308]",4
"Write a slow-paced answer. /// You are a user-friendly, systematic, and adaptive assistant.",0.5538461538461538,0.77,0.5733333333333334,0.65,0.67,0.0,0.64,0.23,0.75,0.48,0.41,0.7,0.52,0.19,0.69,0.7,0.711864406779661,0.58,0.7,0.6527777777777778,0.75,0.7,0.49,0.31,0.62,0.62,0.22,0.5470869912210694,"[0.5, 0.6, 0.7]","[0.5, 0.5, 0.4]","[0.8, 0.7, 0.5]","[0.6, 0.7, 0.3]","[0.0, 0.0, 0.0]","[0.7, 0.6, 0.5]","[0.2, 0.2, 0.3]","[0.9, 0.8, 0.8]","[0.8, 0.6, 0.5]","[0.4, 0.5, 0.4]","[0.9, 0.7, 0.6]","[0.4, 0.5, 0.3]","[0.2, 0.0, 0.0]","[0.6, 0.6, 0.4]","[0.8, 0.9, 0.5]","[0.8, 0.9, 0.7]","[0.5, 0.7, 0.7]","[0.8, 0.6, 0.6]","[0.8, 0.7, 0.7]","[0.9, 0.8, 0.9]","[0.8, 0.9, 0.7]","[0.4, 0.3, 0.5]","[0.2, 0.5, 0.4]","[0.7, 0.7, 0.7]","[0.5, 0.6, 0.7]","[0.4, 0.3, 0.4]","[2, 3, 4]","[0.5807692307692308, 0.573076923076923, 0.5076923076923077]",4
"You are a mathematician. /// You are a user-friendly, systematic, and adaptive assistant. /// You are an unrivaled, self-updating, and user-friendly assistant. /// Write a slow-paced answer.",0.5461538461538462,0.66,0.4933333333333333,0.65,0.64,0.0,0.5,0.23,0.71,0.53,0.56,0.65,0.43,0.19,0.75,0.74,0.6949152542372882,0.66,0.77,0.75,0.73,0.78,0.33,0.35,0.6,0.55,0.33,0.5450917797286512,"[1.0, 0.9]","[0.3, 0.3]","[0.9, 0.6]","[0.4, 0.5]","[0.0, 0.0]","[0.4, 0.3]","[0.1, 0.1]","[0.7, 0.6]","[0.7, 0.7]","[0.4, 0.5]","[0.8, 0.8]","[0.4, 0.7]","[0.0, 0.2]","[0.7, 0.7]","[0.7, 0.6]","[0.9, 0.7]","[0.7, 0.6]","[0.6, 0.6]","[0.8, 0.6]","[0.8, 0.6]","[0.8, 0.7]","[0.3, 0.5]","[0.6, 0.3]","[0.6, 0.6]","[0.7, 0.7]","[0.5, 0.2]","[4, 6]","[0.5692307692307692, 0.5230769230769231]",6
Imagine you are a helpful assistant. /// Write a slow-paced answer.,0.5326923076923077,0.72,0.5066666666666667,0.72,0.61,0.0,0.63,0.17,0.75,0.47,0.38,0.66,0.44,0.18,0.72,0.55,0.6610169491525424,0.62,0.63,0.625,0.75,0.63,0.37,0.39,0.65,0.68,0.23,0.5255387071029529,"[0.7, 0.8]","[0.5, 0.4]","[0.6, 0.7]","[0.6, 0.4]","[0.0, 0.0]","[0.6, 0.3]","[0.2, 0.1]","[1.0, 0.6]","[0.5, 0.5]","[0.6, 0.3]","[0.9, 0.7]","[0.3, 0.4]","[0.1, 0.0]","[0.7, 0.5]","[0.4, 0.1]","[0.9, 0.7]","[0.4, 0.5]","[0.8, 0.6]","[0.8, 0.8]","[0.9, 0.8]","[0.6, 0.7]","[0.4, 0.7]","[0.5, 0.6]","[0.6, 0.8]","[0.8, 0.7]","[0.4, 0.2]","[2, 4]","[0.5692307692307692, 0.49615384615384617]",4
Write a slow-paced answer.,0.5192307692307693,0.68,0.4666666666666667,0.61,0.58,0.0,0.51,0.19,0.69,0.42,0.35,0.56,0.42,0.19,0.75,0.4,0.6610169491525424,0.64,0.65,0.5277777777777778,0.65,0.61,0.53,0.36,0.57,0.66,0.25,0.494413407821229,"[1.0, 0.7, 0.8]","[0.7, 0.5, 0.4]","[0.8, 0.9, 0.6]","[0.8, 0.6, 0.6]","[0.0, 0.0, 0.0]","[0.6, 0.5, 0.4]","[0.2, 0.3, 0.2]","[0.4, 0.7, 0.7]","[0.3, 0.7, 0.6]","[0.3, 0.4, 0.3]","[0.6, 0.7, 0.4]","[0.3, 0.3, 0.4]","[0.3, 0.0, 0.0]","[0.8, 0.4, 0.6]","[0.4, 0.3, 0.4]","[0.6, 0.8, 0.8]","[0.2, 0.7, 0.6]","[0.7, 0.6, 0.3]","[0.3, 0.6, 0.5]","[0.9, 0.7, 0.7]","[0.6, 0.8, 0.5]","[0.4, 0.7, 0.6]","[0.7, 0.4, 0.6]","[0.5, 0.8, 0.6]","[0.6, 0.9, 0.7]","[0.6, 0.3, 0.3]","[1, 3, 4]","[0.5230769230769231, 0.55, 0.4846153846153846]",4
"You are a user-friendly, systematic, and adaptive assistant.",0.4833333333333333,0.55,0.52,0.42,0.61,0.0,0.62,0.21,0.68,0.46,0.46,0.57,0.5,0.22,0.63,0.52,0.4576271186440678,0.58,0.69,0.4583333333333333,0.66,0.82,0.23,0.21,0.33,0.71,0.33,0.4788507581803671,"[0.5, 0.6, 0.8]","[0.8, 0.7, 0.4]","[0.5, 0.5, 0.3]","[0.6, 0.4, 0.4]","[0.0, 0.0, 0.0]","[0.5, 0.6, 0.4]","[0.3, 0.4, 0.1]","[0.6, 0.7, 0.6]","[0.4, 0.6, 0.5]","[0.3, 0.4, 0.4]","[0.7, 0.4, 0.3]","[0.3, 0.6, 0.4]","[0.1, 0.1, 0.1]","[0.5, 0.7, 0.8]","[0.8, 0.7, 0.5]","[0.8, 0.7, 0.7]","[0.4, 0.6, 0.5]","[0.8, 0.4, 0.5]","[0.6, 0.6, 0.5]","[0.7, 0.7, 0.7]","[0.9, 0.9, 0.9]","[0.0, 0.1, 0.3]","[0.0, 0.0, 0.1]","[0.5, 0.4, 0.4]","[0.9, 0.5, 0.6]","[0.7, 0.6, 0.4]","[1, 3, 4]","[0.5076923076923077, 0.49615384615384617, 0.4461538461538462]",4
